skin_group,raw_auc,auc,auc_ci_lower,auc_ci_upper,accuracy,precision,recall,f1
1-2,0.5511487613913489,0.5500418176349925,0.46036374117963486,0.637929715028189,0.5769230769230769,0.27586206896551724,0.4897959183673469,0.35294117647058826
3-4,0.6515617413821005,0.6508328244741856,0.5762514203755353,0.7282512494253385,0.6265560165975104,0.4298245614035088,0.6621621621621622,0.5212765957446809
5-6,0.5490041928721174,0.5483701462062461,0.45195438336778204,0.640560604837526,0.5748792270531401,0.2777777777777778,0.5208333333333334,0.36231884057971014
