skin_group,raw_auc,auc,auc_ci_lower,auc_ci_upper,accuracy,precision,recall,f1
1-2,0.5542292388653575,0.5539718763540761,0.45645590456907903,0.6469197820321647,0.3269230769230769,0.23699421965317918,0.8367346938775511,0.36936936936936937
3-4,0.5449910988833144,0.543171023816479,0.47013077588759083,0.6222246525990736,0.46887966804979253,0.3516483516483517,0.8648648648648649,0.5
5-6,0.5626310272536688,0.5661041720504933,0.48147216384096087,0.6508901985111663,0.5169082125603864,0.2833333333333333,0.7083333333333334,0.40476190476190477
