skin_group,raw_auc,auc,auc_ci_lower,auc_ci_upper,accuracy,precision,recall,f1
1-2,0.5882428443075344,0.5858665712471008,0.49057851742963965,0.6868422913370252,0.6298076923076923,0.32051282051282054,0.5102040816326531,0.3937007874015748
3-4,0.6606246965528403,0.6605040559391332,0.5875590562806353,0.7321591592007148,0.6473029045643154,0.44329896907216493,0.581081081081081,0.5029239766081871
5-6,0.591325995807128,0.5923097970514216,0.505840014818343,0.6829331016900897,0.6328502415458938,0.3055555555555556,0.4583333333333333,0.36666666666666664
