skin_group,raw_auc,auc,auc_ci_lower,auc_ci_upper,accuracy,precision,recall,f1
1-2,0.6818123475805415,0.6827567386805309,0.5969996755358598,0.7729818176441932,0.6153846153846154,0.3368421052631579,0.6530612244897959,0.4444444444444444
3-4,0.6988994983006959,0.7000713241388492,0.6305275629360024,0.7709498130572332,0.6721991701244814,0.47572815533980584,0.6621621621621622,0.5536723163841808
5-6,0.5902777777777777,0.5910238024005161,0.49671685129748105,0.6850835613876785,0.6231884057971014,0.2972972972972973,0.4583333333333333,0.36065573770491804
