skin_group,raw_auc,auc,auc_ci_lower,auc_ci_upper,accuracy,precision,recall,f1
1-2,0.6488255679630341,0.649448511796294,0.5482554573958313,0.7451630388158589,0.4519230769230769,0.26277372262773724,0.7346938775510204,0.3870967741935484
3-4,0.632222042401683,0.6317457270028949,0.5577775006861857,0.7045648748915351,0.5933609958506224,0.4090909090909091,0.7297297297297297,0.5242718446601942
5-6,0.5275157232704403,0.528261848386202,0.44072297345138256,0.6139065752883432,0.5942028985507246,0.275,0.4583333333333333,0.34375
